longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,Unnamed: 8,ocean_proximity,median_house_value,,median_house_value
-117.97,33.86,35,1691,367,1265,378,3.5855,,<1H OCEAN,184832,,174300
-122.56,41.69,21,2010,360,947,306,2.4107,,INLAND,75114,,70100
-120.06,39.15,22,2213,372,98,42,1.1912,,INLAND,109610,,170000
-118.2,33.8,45,2456,495,1300,450,3.9792,,NEAR OCEAN,254998.05,,210200
-121.9,37.41,24,4759,921,3188,902,5.6344,,<1H OCEAN,279205.02,,228700
-120.37,38.23,13,4401,829,924,383,2.6942,,INLAND,129492,,123500
-118.57,34.09,14,7970,1142,2926,1096,11.2866,,<1H OCEAN,492521.75,,500001
-117.03,32.67,15,5094,818,2118,758,5.3505,,NEAR OCEAN,215594,,266600
-118.07,33.98,41,1478,273,916,281,3.9688,,<1H OCEAN,177429.01,,169800
-121.95,37.94,21,3153,411,1318,431,6.8642,,INLAND,286686.01,,285400
-121.5,38.57,45,858,254,510,200,1.0114,,INLAND,65232,,80000
-117.99,34.13,37,1568,371,1618,350,2.9605,,INLAND,152714,,129400
-119.29,36.34,35,1235,369,1246,341,1.474,,INLAND,51383,,71000
-122.28,37.9,52,1369,249,490,248,4.1212,,NEAR BAY,227543.03,,287500
-122.49,37.75,48,2387,424,1041,408,3.7562,,NEAR OCEAN,306036.03,,321200
-120.62,37.35,20,1457,372,1000,346,1.4615,,INLAND,67668,,69200
-118.27,34.02,39,2004,633,3050,621,1.875,,<1H OCEAN,139362,,127300
-117.12,32.8,31,1727,342,879,345,3.8125,,NEAR OCEAN,168621,,166300
-121.91,37.71,25,4377,668,2038,671,5.7233,,<1H OCEAN,276867,,231800
-121.98,38.39,3,9488,1417,4095,1335,5.1781,,INLAND,210757,,191900
-118.68,34.28,5,6150,1265,3188,1266,4.7034,,<1H OCEAN,231751.01,,223000
-118.36,34.05,45,1879,395,946,409,3.3333,,<1H OCEAN,300092,,254700
-122.32,37.94,38,2751,522,1390,489,3.7277,,NEAR BAY,162812.01,,165100
-117.16,33.06,16,1988,279,770,252,5.8661,,NEAR OCEAN,303994.06,,404500
-115.62,33.04,20,1121,244,766,230,2.2969,,INLAND,85453,,62000
-117.09,34.07,24,6260,1271,3132,1189,2.5156,,INLAND,102403,,103000
-120.46,38.15,16,4221,781,1516,697,2.3816,,INLAND,125885,,116000
-118.08,33.92,34,2118,437,1414,442,3.7238,,<1H OCEAN,189042,,166800
-122.89,38.38,16,2017,369,931,336,5.7664,,<1H OCEAN,304044.01,,267500
-118.23,34.09,47,859,239,913,234,2.6442,,<1H OCEAN,159573,,136100
-118.4,34,44,2122,385,1012,367,4.6687,,<1H OCEAN,343713.13,,344300
-116.93,33.06,16,3490,545,1628,535,4.8836,,<1H OCEAN,225800.01,,239900
-122.42,37.78,17,1257,339,1093,384,1.8438,,NEAR BAY,182586,,72500
-122.24,37.79,43,1626,376,1284,357,2.2542,,NEAR BAY,119826,,112200
-122.19,37.43,39,2392,420,937,406,6.6136,,NEAR OCEAN,469320.54,,472800
-117.26,32.83,24,1663,199,578,187,10.7721,,NEAR OCEAN,493190.91,,500001
-119.03,36.08,19,2471,431,1040,426,3.25,,INLAND,93896,,80600
-120.35,37.99,3,1167,306,422,186,2.4191,,INLAND,157478,,217500
-118.21,34.05,28,950,357,1485,345,1.9271,,<1H OCEAN,135810,,136400
-117.27,34.4,8,6042,979,3031,991,3.3438,,INLAND,107346,,124400
-119.74,36.74,39,4893,1210,4749,1067,1.2065,,INLAND,72396,,55600
-120.26,37.13,33,1239,250,648,227,2.0278,,INLAND,73349,,58800
-117.75,34.01,4,22128,3522,10450,3258,6.1287,,<1H OCEAN,274061.01,,289600
-118.22,34.19,36,2443,492,1115,493,3.9777,,<1H OCEAN,221209,,409800
-122.5,37.74,42,1667,395,1041,387,3.9583,,NEAR OCEAN,288496.02,,273700
-118.19,34.12,35,2524,749,2487,679,2.4932,,<1H OCEAN,170282,,167700
-116.68,33.16,26,1820,374,1001,324,2.1797,,INLAND,74160,,156300
-117.06,32.56,5,2706,925,3148,855,1.7301,,NEAR OCEAN,144910,,125000
-118.42,34.19,33,3285,830,2281,786,2.6165,,<1H OCEAN,206394,,230800
-118.61,35.08,6,3660,646,1243,482,3.4911,,INLAND,121306,,137200
-122.66,38.46,14,2364,631,1300,625,2.6023,,<1H OCEAN,184533,,221100
-118.23,33.95,43,1683,520,2190,494,2.2391,,<1H OCEAN,131419,,152800
-121.14,37.52,37,1358,231,586,214,3.1645,,INLAND,128428,,170800
-122.49,37.79,52,2488,281,805,295,10.7058,,NEAR BAY,496843.96,,500001
-122.6,38.24,16,1410,209,741,229,4.725,,<1H OCEAN,249538,,204500
-120.95,37.66,16,4478,647,1990,672,5.1473,,INLAND,181967,,188400
-118.38,34.08,30,4524,1312,1910,1243,2.8889,,<1H OCEAN,316804.1,,335300
-120.82,37.64,20,3375,630,1505,598,2.69,,INLAND,104668,,201300
-121.04,37.68,18,5129,1171,3622,1128,2.0272,,INLAND,98830,,92700
-122.42,37.8,52,2852,581,838,510,8.0755,,NEAR BAY,482400.8,,500001
-118.35,34.07,45,3312,880,1157,809,3.5719,,<1H OCEAN,377479.29,,500001
-114.63,32.76,15,1448,378,949,300,0.8585,,INLAND,66334,,45000
-121.67,39.37,27,2599,502,1241,502,1.9943,,INLAND,73919,,86300
-118.17,33.84,29,4716,1372,2515,1272,2.726,,<1H OCEAN,155033,,208700
-118.22,33.92,43,1195,256,1251,262,3.4539,,<1H OCEAN,153883,,125000
-118.26,33.92,42,3320,682,2105,632,1.9809,,<1H OCEAN,116360,,104600
-118.35,34.09,35,2234,689,1334,662,2.5444,,<1H OCEAN,297791.17,,236100
-118.14,34.65,20,1257,201,551,186,4.6591,,INLAND,146945,,247200
-121.98,37.53,26,3179,703,2142,639,4.1947,,<1H OCEAN,219315,,222700
-117.46,33.94,35,1566,294,1056,279,3.5227,,INLAND,112689,,105400
-118.19,33.87,27,4701,1359,2571,1216,2.5417,,<1H OCEAN,152200,,184100
-118.1,34.12,49,3783,579,1601,539,6.3013,,<1H OCEAN,360836.06,,500001
-122.19,37.48,45,886,165,492,173,4.2708,,NEAR BAY,261839,,267000
-123.32,39.42,22,2085,432,1133,402,2.3906,,<1H OCEAN,131009,,92600
-121.88,37.36,30,2453,573,1845,530,3.7396,,<1H OCEAN,191682,,210700
-117.98,33.68,17,2603,373,1265,382,6.8039,,<1H OCEAN,314816.01,,332900
-117.37,33.22,35,2204,482,1435,462,3.676,,NEAR OCEAN,283531.11,,125600
-121.42,38.5,24,7740,1539,4333,1397,3.025,,INLAND,123389,,87900
-118.22,33.97,47,1058,295,1097,274,2.881,,<1H OCEAN,148714,,183300
-118.33,33.34,52,2359,591,1100,431,2.8333,,ISLAND,357463.04,,414700
-122.27,37.82,52,1630,456,1162,400,1.2475,,NEAR BAY,113409,,104200
-121.96,37.29,24,1240,263,690,276,5,,<1H OCEAN,251880,,283000
-118.28,34.07,24,3247,1281,2642,1182,2.4632,,<1H OCEAN,209112,,216700
-117.52,33.89,2,17978,3217,7305,2463,5.1695,,INLAND,173970,,220800
-117.24,32.78,44,2172,431,892,420,4.1742,,NEAR OCEAN,349334.21,,342200
-119.22,34.27,11,4695,955,2065,982,3.2158,,NEAR OCEAN,223566,,223600
-118.22,33.83,43,1426,272,871,276,3.7083,,<1H OCEAN,175027,,175200
-121.83,37.25,17,2332,637,1636,623,3.1932,,<1H OCEAN,196644,,123400
-118.3,33.99,45,1701,452,1484,427,1.84,,<1H OCEAN,105604,,91400
-118.04,33.93,36,1045,239,1165,230,3.1979,,<1H OCEAN,156411,,161800
-118.53,34.27,32,1931,298,948,314,5.3847,,<1H OCEAN,242302,,329200
-118.22,33.97,43,381,67,259,60,3.0313,,<1H OCEAN,142232,,166100
-118.19,33.93,40,1334,276,1226,278,3.4712,,<1H OCEAN,160362,,144300
-122.84,38.4,15,3080,617,1446,599,3.6696,,<1H OCEAN,221850,,194400
-117.18,34.48,8,3561,691,2156,659,2.7778,,INLAND,100023,,86900
-120.67,36.72,18,819,198,996,198,2.5,,INLAND,91529,,112500
-117.97,34.13,42,683,127,541,138,3.4375,,INLAND,193653,,151700
-121.67,38.54,13,6141,1019,2553,967,4.2432,,INLAND,167205,,326500
-118.38,34.06,29,3946,1008,1676,876,2.7824,,<1H OCEAN,313256.09,,450000
-121.94,36.97,31,1738,422,746,355,2.5172,,NEAR OCEAN,239503,,330800
-119.27,36.32,9,3631,635,1881,628,4.7723,,INLAND,130573,,113100
-118.13,33.96,35,1500,250,706,250,4.5625,,<1H OCEAN,215172,,253500
-119.06,34.35,34,2426,646,2116,631,2.0682,,<1H OCEAN,191938,,158300
-118.53,34.37,8,3839,852,1342,593,3.9118,,<1H OCEAN,248500,,333700
-117.98,33.92,27,3700,,1793,552,5.3668,,<1H OCEAN,255385,,219800
-118.2,33.82,34,2807,768,2217,744,2.4286,,NEAR OCEAN,170797,,204800
-117.89,33.82,24,1268,210,700,224,5.0605,,<1H OCEAN,200456,,216200
-121.48,38.52,34,2561,497,1583,530,3.1583,,INLAND,116604,,95800
-121.49,38.56,42,900,239,506,231,1.2813,,INLAND,65421,,87500
-121.85,37.3,19,6275,1546,4312,1466,2.7768,,<1H OCEAN,152770,,178600
-119.75,34.45,6,2864,,1404,603,5.5073,,NEAR OCEAN,292159.03,,263800
-119.8,36.86,7,6434,1201,2733,1045,3.7656,,INLAND,121888,,145000
-122.03,38.69,23,1796,380,939,330,2.7955,,INLAND,119326,,96300
-118.42,33.96,24,4393,966,1257,579,5.0714,,<1H OCEAN,421798.48,,356100
-119.83,36.8,16,6101,1200,3407,1134,3.125,,INLAND,102095,,80800
-117.86,33.78,21,2713,731,1952,722,2.6959,,<1H OCEAN,166907,,178800
-122,37.36,17,2070,,797,275,8.6155,,<1H OCEAN,405917.15,,411200
-118.46,33.98,27,2217,520,806,458,3.8935,,<1H OCEAN,332625.07,,500001
-121.32,38.71,14,4594,774,2474,782,4.5245,,INLAND,149213,,127500
-117.88,33.65,24,4879,756,1777,754,5.9055,,<1H OCEAN,260429,,477300
-118.34,34.07,52,1621,284,588,272,6.2223,,<1H OCEAN,345635.08,,500001
-117.87,33.75,14,5526,1916,6799,1796,2.6561,,<1H OCEAN,159815,,144400
-118.21,34.21,41,1676,263,757,255,4.7734,,<1H OCEAN,243293,,450800
-117.38,33.89,12,3964,524,1707,549,5.1624,,INLAND,151123,,267900
-118.17,34.02,39,759,215,883,226,2.125,,<1H OCEAN,147660,,143800
-120.46,37.33,17,6111,1171,2950,1104,3.2852,,INLAND,118912,,98800
-119.77,35.65,21,2403,483,1647,415,2.6066,,INLAND,76904,,80000
-121.63,39.15,27,336,60,195,68,5.3946,,INLAND,225129.01,,71800
-117.25,33.19,18,1891,306,830,279,4.5764,,<1H OCEAN,229976.05,,207000
-119.29,34.29,33,3854,982,1835,894,3.5294,,NEAR OCEAN,268601,,323900
-118.01,34.13,38,3374,671,1906,640,4.0729,,INLAND,230833,,212300
-118.25,34.09,52,3142,765,1728,682,3.1864,,<1H OCEAN,219455.02,,189800
-118.01,33.93,34,2424,468,1293,444,3.275,,<1H OCEAN,201651,,189900
-118.14,34.08,24,3988,1098,2909,1034,2.7036,,<1H OCEAN,182383,,170000
-122.02,37.56,35,1716,312,914,316,5.5737,,NEAR BAY,278162,,214500
-121.97,37.29,25,4096,743,2027,741,5.3294,,<1H OCEAN,304195.02,,300300
-117.04,33.09,16,4677,581,1902,566,6.1834,,<1H OCEAN,262335.04,,335600
-117.26,32.81,37,1616,421,650,395,2.92,,NEAR OCEAN,249026.04,,326500
-118.09,33.95,36,1991,396,1306,403,4.5,,<1H OCEAN,208824,,166600
-122.27,37.77,52,2252,388,1033,434,5.5337,,NEAR BAY,353935.09,,372000
-118.07,34.51,14,2798,459,1236,404,4.8667,,INLAND,176017,,239900
-116.96,32.79,19,3008,693,2341,689,2.6087,,<1H OCEAN,141962,,123800
-122.52,37.98,31,6555,1571,2962,1464,2.8903,,NEAR BAY,167361,,324200
-118.7,34.24,28,2405,462,1011,378,4.504,,<1H OCEAN,236726.01,,204300
-118.23,33.92,32,2698,640,1953,613,1.2222,,<1H OCEAN,111236,,107200
-120.76,38.6,14,2925,625,1226,437,2.5865,,INLAND,122107,,133800
-124.18,40.78,37,1453,293,867,310,2.5536,,NEAR OCEAN,98266,,70200
-122.48,37.76,48,2304,558,1273,512,3.275,,NEAR BAY,257459,,332100
-118.29,34.02,26,2001,582,2044,557,1.1563,,<1H OCEAN,162160,,118800
-121.8,36.68,18,8581,1957,6071,1889,3,,<1H OCEAN,166586,,162200
-119.06,36.09,11,2572,454,1402,415,3.6786,,INLAND,97097,,72900
-118.23,33.97,47,932,295,1226,264,1.6065,,<1H OCEAN,101430,,111400
-122.08,37.63,31,767,171,548,185,3.7614,,NEAR BAY,184621.03,,176000
-117.71,33.6,25,1949,459,602,428,2.7601,,<1H OCEAN,158563.02,,72500
-122.5,37.87,17,4333,947,1650,919,6.3066,,NEAR BAY,330913.05,,346100
-122.37,41.41,28,1729,419,929,370,1.27,,INLAND,58748,,53100
-121.91,37.29,18,3597,664,1321,593,5.3077,,<1H OCEAN,304270.04,,351400
-118.25,33.92,44,1737,363,1184,343,2.5363,,<1H OCEAN,123712,,95900
-119.75,36.78,35,1129,220,474,242,2.4405,,INLAND,74570,,74300
-122.33,37.99,4,3999,1079,1591,887,3.911,,NEAR BAY,210405.01,,112500
-122.27,37.51,39,3996,793,1744,761,4.5075,,NEAR OCEAN,341946.03,,364900
-117.21,33.71,16,8476,1758,2711,1427,2.1848,,<1H OCEAN,168570,,97900
-117.84,33.98,26,3638,557,1993,593,6.1076,,<1H OCEAN,279306,,221200
-117.24,34.11,23,1920,454,1161,358,2.2109,,INLAND,78331,,73200
-119.78,38.69,17,1364,282,338,152,2.45,,INLAND,125819,,117600
-117.31,32.83,38,2367,480,891,428,4.1477,,NEAR OCEAN,408704.36,,500001
-120.83,37.51,13,3795,604,1639,609,4.6635,,INLAND,164442,,198400
-117.91,33.84,35,1244,324,1603,322,2.9583,,<1H OCEAN,161382,,175400
-121.26,38.11,8,2770,642,1611,633,3.1284,,INLAND,123783,,115100
-122.46,38.29,21,2423,560,1098,503,2.364,,NEAR BAY,165171,,173300
-118.26,33.83,28,4112,861,3211,841,4.4539,,<1H OCEAN,228899.02,,192200
-119.92,38.91,15,3831,625,984,328,5.0718,,INLAND,173656,,162500
-121.66,36.67,40,2878,592,1444,564,3.1439,,<1H OCEAN,195587,,192300
-122.51,37.78,45,2564,499,1056,460,4.7328,,NEAR BAY,362362.1,,351100
-121.94,38.03,27,1654,478,1141,420,1.4871,,INLAND,66277,,87100
-119,35.35,35,1164,277,992,284,1.4015,,INLAND,54552,,48700
-119.41,36.68,18,1802,332,945,292,3.4044,,INLAND,98048,,115300
-123.21,39.13,27,1531,266,822,234,4.0469,,<1H OCEAN,194178,,127400
-122.69,38.32,15,2536,414,1400,426,5.6613,,<1H OCEAN,274756,,172400
-118.01,34.15,32,6597,1579,3689,1459,3.2377,,INLAND,196225,,184100
-118.56,34.24,23,2980,362,1208,378,8.1714,,<1H OCEAN,422823.34,,500001
-121.23,37.96,37,2351,564,1591,549,1.6563,,INLAND,71288,,57200
-121.95,37.11,21,2387,357,913,341,7.736,,<1H OCEAN,351200.09,,397700
-117.69,33.55,4,1764,220,705,224,8.3275,,<1H OCEAN,376977.18,,384200
-117.86,33.88,20,3977,540,1886,541,6.5843,,<1H OCEAN,283805,,272200
-118.01,33.94,35,1323,235,807,247,4.2708,,<1H OCEAN,193671,,174800
-117.09,32.76,43,3889,711,1466,663,3.5529,,NEAR OCEAN,167193.02,,223000
-118.21,33.92,28,2949,1003,4551,930,1.9026,,<1H OCEAN,142181,,131900
-122.08,37.4,19,3565,858,1639,744,4.1544,,NEAR BAY,274742.02,,277000
-121.45,38.55,19,3374,808,1412,753,1.4889,,INLAND,82119,,77600
-117.24,33.37,14,4687,793,2436,779,4.5391,,<1H OCEAN,225997.01,,180900
-118.16,34.02,34,1474,511,1962,501,1.8715,,<1H OCEAN,152237,,139600
-120.48,34.9,20,3842,630,2490,662,3.0559,,<1H OCEAN,189066,,120100
-117.04,32.73,25,1375,267,1032,278,3.5492,,NEAR OCEAN,131265,,125400
-118.1,34.18,39,2321,336,880,339,7.7108,,INLAND,422936.4,,450000
-118.1,33.9,35,1151,248,809,246,4.7813,,<1H OCEAN,193050,,160000
-118.3,33.74,20,2625,673,1184,606,3.9167,,NEAR OCEAN,302614.02,,285200
-119.73,36.75,39,1745,321,901,303,3.1719,,INLAND,78686,,67900
-118.43,34.25,38,921,239,1023,241,3.4514,,<1H OCEAN,164147,,151900
-117.99,34.12,35,1040,231,1040,242,2.5395,,INLAND,122172,,139200
-122.13,37.45,37,2295,332,933,332,6.7257,,NEAR BAY,441277.4,,500001
-122.47,37.72,49,1690,307,770,294,4.5913,,NEAR OCEAN,301538.03,,259700
-116.77,33.92,19,2307,525,1266,437,1.6875,,INLAND,74790,,63000
-120.83,37.5,30,1340,244,631,231,3.375,,INLAND,131584,,118500
-121.33,38.02,31,1466,,608,254,3.1827,,INLAND,125104,,162100
-118.18,34.01,42,1845,497,2191,492,2.3462,,<1H OCEAN,149762,,127300
-117.87,34.06,25,3652,470,1525,484,10.1248,,<1H OCEAN,480067.75,,428500
-122,37.82,20,2206,458,926,432,4.6042,,<1H OCEAN,251439,,256400
-117.32,33.8,11,3196,576,1757,552,4.0982,,INLAND,137165,,173300
-118.43,34.29,39,1769,410,1499,390,3.1212,,<1H OCEAN,185841,,153500
-116.18,33.69,17,89,19,79,21,2.375,,INLAND,123839,,155000
-120.51,37.29,20,4927,1042,4205,1009,1.7679,,INLAND,75457,,79800
-118.29,34.06,42,3894,2293,6846,2156,1.5553,,<1H OCEAN,284864,,70000
-124.05,40.85,31,2414,428,1005,401,3.5156,,NEAR OCEAN,165109.02,,143000
-118.55,34.39,16,8726,1317,3789,1279,6.8419,,<1H OCEAN,352016.1,,323300
-122.15,37.41,15,2577,360,979,364,10.476,,NEAR BAY,482954.85,,500001
-118.43,34.03,36,1552,388,867,352,3.6467,,<1H OCEAN,313552.05,,346700
-122.01,37.3,25,4044,551,1699,533,8.0837,,<1H OCEAN,427045.23,,380600
-118.04,34.07,39,2451,649,2536,648,2.3098,,<1H OCEAN,186505.04,,173100
-115.57,32.78,29,2321,367,1173,360,4.0375,,INLAND,112808,,86400
-119.77,36.83,19,3237,507,1378,510,4.7804,,INLAND,117688,,101100
-117.93,33.85,27,1962,544,1492,481,1.9621,,<1H OCEAN,131853,,118100
-121.89,37.33,42,1279,358,1254,340,2.2583,,<1H OCEAN,163742,,192500
-118.03,33.82,17,1851,346,770,310,5.6093,,<1H OCEAN,254623.01,,244400
-117.88,34.08,30,6132,1538,3147,1449,2.7763,,<1H OCEAN,176248,,187800
-121.96,37.34,42,2001,402,942,375,4.4453,,<1H OCEAN,312040.01,,255400
-118.4,34.04,42,1298,174,420,190,12.8483,,<1H OCEAN,500001,,500001
-121.47,38.57,52,438,103,176,99,3.0217,,INLAND,140848,,200000
-122.02,37.09,35,1818,368,682,254,4.8611,,NEAR OCEAN,299609.05,,240000
-122.35,37.94,45,2112,493,1406,452,2.3456,,NEAR BAY,114404,,105200
-121.26,36.32,30,146,41,164,40,2.3,,<1H OCEAN,164492,,206300
-118.37,34.06,52,2239,423,832,411,5.0858,,<1H OCEAN,360902.1,,470000
-120.38,37.99,36,2864,603,1155,565,2.3571,,INLAND,101228,,113400
-118.18,33.84,43,2561,544,1063,537,3.835,,NEAR OCEAN,326567.06,,418600
-118.36,33.92,19,2807,883,1546,815,2.6375,,<1H OCEAN,219336,,233800
-116.56,33.05,15,1985,361,536,209,4.125,,INLAND,162829,,148200
-118.45,34.22,24,3442,1168,4625,1097,2.0699,,<1H OCEAN,177651,,183000
-118.42,34.02,34,2243,444,973,413,4.9676,,<1H OCEAN,380513.24,,414100
-118.59,34.18,7,11853,2691,4404,2447,4.2009,,<1H OCEAN,230828.01,,271300
-117.32,34.24,29,1290,263,323,113,1.9265,,INLAND,82599,,103300
-122.31,37.56,52,2351,494,1126,482,3.9688,,NEAR OCEAN,266930.02,,356900
-121.92,37.68,23,1655,223,706,219,7.2211,,<1H OCEAN,334273.02,,291900
-118.22,34.13,35,2983,526,1614,543,5.7794,,<1H OCEAN,281568.01,,272400
-122.47,37.75,46,3238,544,1293,470,6.1592,,NEAR BAY,404692.13,,381700
-118.03,34.16,36,1401,218,667,225,7.1615,,INLAND,366449.23,,484700
-116.21,33.75,22,894,,830,202,3.0673,,INLAND,114073,,68200
-118.25,33.89,37,1042,213,699,196,2.9643,,<1H OCEAN,128036,,103200
-117.17,34.05,24,2877,507,1141,474,4.2059,,INLAND,128315,,121500
-117.84,33.84,23,6157,1129,2817,1073,5.0629,,<1H OCEAN,243531.01,,232600
-120.66,35.27,46,2217,544,1107,527,2.8009,,NEAR OCEAN,222757.02,,192600
-116.18,33.67,25,2888,654,2940,660,2.2141,,INLAND,89369,,66700
-119.84,36.83,17,3012,408,987,362,7.4201,,INLAND,272979.02,,229700
-118.15,33.96,33,1471,451,2272,482,2.5385,,<1H OCEAN,163142,,160900
-122.08,37.95,33,1043,157,425,148,4.8702,,NEAR BAY,212952,,235600
-121.34,38.61,22,1778,408,875,375,2.6023,,INLAND,109846,,142200
-117.31,34.08,43,1697,387,1181,352,1.9234,,INLAND,70506,,74600
-122.19,37.8,52,1813,271,637,277,4.0114,,NEAR BAY,228476.04,,263400
-117.91,33.84,29,1570,482,1849,430,2.6563,,<1H OCEAN,164669,,162500
-120.14,34.59,24,1601,282,731,285,4.2026,,NEAR OCEAN,270570.01,,259800
-118.55,34.18,32,3011,529,1287,525,5.0605,,<1H OCEAN,275014.03,,311000
-118.08,33.95,32,1962,387,1274,398,4.8304,,<1H OCEAN,219569.01,,160600
-118.11,33.96,29,2784,582,1278,550,4.3882,,<1H OCEAN,241539,,261600
-121.87,36.55,20,10053,1768,3083,1621,5.1506,,NEAR OCEAN,297442.02,,387500
-118.26,34.08,45,2225,827,2699,792,1.9209,,<1H OCEAN,182470,,179200
-118.12,33.81,36,1774,299,784,298,5.0447,,<1H OCEAN,223397,,249200
-118.32,34.02,52,2511,587,1660,546,2.6098,,<1H OCEAN,213833.08,,127100
-118.37,33.88,26,2620,530,1282,525,4.4828,,<1H OCEAN,320447.03,,340700
-118.14,34.68,25,1703,342,775,309,4.5455,,INLAND,150552,,126500
-122.27,37.88,52,1693,391,669,367,3.5417,,NEAR BAY,222595.01,,287500
-117.29,34.11,35,2014,677,1714,612,0.7075,,INLAND,74497,,78800
-119.69,36.71,25,556,79,249,71,4.4583,,INLAND,144184,,108300
-117.95,33.92,32,1661,312,1201,302,4,,<1H OCEAN,171605,,178200
-118.46,34,39,4098,1100,2054,1053,2.918,,<1H OCEAN,327073,,345600
-117.06,32.75,34,2516,611,1317,594,2.2308,,NEAR OCEAN,128958,,125900
-117.83,33.88,23,2365,355,1209,347,6.0132,,<1H OCEAN,262494,,259400
-121.9,38.72,38,575,107,259,109,3.75,,INLAND,130850.99,,187500
-121.06,37.7,7,9374,1847,4827,1722,3.462,,INLAND,138617,,151900
-117.23,33.2,29,3372,720,1770,693,3.5109,,<1H OCEAN,228757.05,,166000
-121.22,37.93,21,336,68,206,73,4.75,,INLAND,179048,,121400
-121.95,38.35,16,2084,292,1099,292,5.8269,,INLAND,247242,,150200
-122.21,38.11,35,2122,400,1189,408,3.0962,,NEAR BAY,122036,,124600
-118.39,33.89,40,826,143,389,147,7.1845,,<1H OCEAN,431172.38,,438100
-118.41,34.03,26,4376,1394,2435,1250,2.8418,,<1H OCEAN,294152.01,,327300
-121.55,37.37,39,759,141,252,106,3.6964,,INLAND,158180,,262500
-122.39,37.76,52,624,170,410,148,4.0042,,NEAR BAY,249165,,208300
-122.2,37.8,46,2041,405,1059,399,3.8487,,NEAR BAY,188854,,203300
-118.53,34.18,26,4175,885,2118,778,4.2083,,<1H OCEAN,233972.01,,240300
-118.05,33.97,36,2854,688,2816,673,3.6,,<1H OCEAN,186227,,154000
-118.29,34.07,22,492,269,634,261,1.6406,,<1H OCEAN,207093.03,,300000
-122.07,37.63,27,2784,723,2028,693,2.4808,,NEAR BAY,172564,,157600
-122.02,38.26,27,3440,787,2085,748,2.5896,,INLAND,127860,,104700
-121.17,37.88,22,1283,256,3082,239,3.5365,,INLAND,131173,,111800
-119.32,36.2,15,1562,275,961,287,3.4231,,INLAND,100301,,83300
-122.36,37.94,27,844,249,583,265,0.9687,,NEAR BAY,135996.01,,105800
-114.64,34.83,10,2502,573,1152,481,1.7062,,INLAND,70678,,86800
-116.86,34.31,19,1649,328,382,151,4.0556,,INLAND,138573.96,,133000
-119.85,36.84,12,2272,304,840,305,8.9669,,INLAND,408723.32,,213900
-122.41,38.07,20,4536,708,1812,701,6.0433,,NEAR BAY,274698.02,,435900
-121.77,36.91,8,2715,750,2580,718,2.8348,,<1H OCEAN,149545,,162000
-122.37,37.93,45,3150,756,1798,749,1.75,,NEAR BAY,186585.01,,37900
-121.92,37.53,7,28258,3864,12203,3701,8.4045,,<1H OCEAN,414825.09,,451100
-118.29,33.85,10,1391,420,1378,377,1.9049,,<1H OCEAN,119645,,222200
-122.03,37.97,45,1613,338,865,336,3.25,,NEAR BAY,152813,,151100
-117.21,32.8,19,786,282,525,229,1.7273,,NEAR OCEAN,164281,,137500
-118.98,37.64,17,3769,908,1160,453,3.05,,INLAND,133265,,188900
-117.2,33.14,19,2025,414,1663,403,3.8147,,<1H OCEAN,188710,,139200
-117.9,33.82,32,1187,302,1003,275,2.4931,,<1H OCEAN,179658,,166900
-117.1,32.7,42,2002,488,1505,464,1.5057,,NEAR OCEAN,92759,,86300
-121.84,37.98,8,7505,1089,3325,1016,5.2699,,INLAND,209987,,204200
-122.35,37.95,45,2142,431,1318,431,3.0737,,NEAR BAY,128640,,111600
-118.41,34.25,33,827,192,981,184,2.6429,,<1H OCEAN,188870,,143100
-118.26,33.94,44,1103,265,760,247,1.6887,,<1H OCEAN,106784,,99600
-118.05,34.17,45,2535,455,1036,437,5.0482,,INLAND,307782.02,,388900
-120.89,37.33,27,2692,481,1518,447,2.0417,,INLAND,80085,,94200
-117.71,33.61,25,3004,718,891,626,2.395,,<1H OCEAN,154706.03,,80300
-122.28,37.99,28,3801,622,1654,571,4.375,,NEAR BAY,199760,,193300
-119.32,36.62,15,1070,256,1070,243,1.5642,,INLAND,58945,,51500
-118.39,33.96,45,1436,374,662,292,3.625,,<1H OCEAN,242555,,329400
-122.41,37.66,44,431,195,682,212,3.2833,,NEAR OCEAN,216976,,233300
-118.33,33.72,25,6191,1081,2297,1023,6.4246,,NEAR OCEAN,405464.37,,446700
-120.79,37.82,17,4227,729,1809,679,3.2667,,INLAND,131052,,269500
-118.3,33.75,42,967,175,481,163,5.6611,,<1H OCEAN,333420.1,,265600
-122.44,37.8,52,1603,487,727,464,3.9856,,NEAR BAY,449437.43,,500001
-118.18,33.78,52,1180,381,1046,332,1.5603,,NEAR OCEAN,135677,,162500
-119.9,36.2,43,187,38,106,40,1.875,,INLAND,82495,,137500
-122.21,37.37,34,1476,217,613,223,8.2883,,NEAR OCEAN,479866.78,,500001
-118.3,34.02,49,2120,483,1522,416,1.85,,<1H OCEAN,120691,,116800
-117.28,33.66,15,4573,928,2513,832,2.6949,,<1H OCEAN,146243,,163600
-122.04,37.3,25,2366,417,1076,398,6.9238,,<1H OCEAN,393017.05,,345900
-122.48,38.3,17,2703,550,1241,515,2.652,,<1H OCEAN,168698,,171300
-122.09,37.4,24,3983,1126,2645,1072,3.6742,,NEAR BAY,226633.01,,275000
